patch,width,theme,components,panels,modules,min_width,overflow_cols,fallback_rate,sidebar_hidden,minimap_hidden,min_contrast,degraded
label_i4_empty,120,terminal,18,2,2,292,172,0.0000,0,0,,1
graph_latency_error,100,terminal,18,1,1,290,190,0.0000,0,1,,1
led_pairs,80,terminal,34,1,2,292,212,0.0000,1,1,,1
graph_latency_chain,120,classic,18,1,1,290,170,0.0000,0,0,5.2520,1
physical_multirow_rack,12,terminal,289,2,17,310,298,1.0000,1,1,,1
source_navigation,120,classic,26,2,2,420,300,0.0000,0,0,5.2520,1
influence_outlier,364,classic,20,2,2,324,0,0.0000,0,0,5.2520,0
modifier_switch_passthrough,80,classic,21,2,2,340,260,0.0000,1,1,5.2520,1
render_outlier_matrix,12,classic,22,3,3,358,346,1.0000,1,1,5.2520,1
influence_outlier,12,terminal,20,2,2,324,312,1.0000,1,1,,1
led_pairs,100,classic,34,1,2,292,192,0.0000,0,1,5.2520,1
alg27_2,12,terminal,37,3,4,440,428,1.0000,1,1,,1
modifier_switch_passthrough,100,terminal,21,2,2,340,240,0.0000,0,1,,1
droid_mpfs5melody2,100,terminal,91,6,6,1468,1368,0.0000,0,1,,1
render_outlier_matrix,100,mono,22,3,3,358,258,0.0000,0,1,1.0000,1
graph_latency_chain,12,terminal,18,1,1,290,278,1.0000,1,1,,1
modifier_switch_passthrough,100,mono,21,2,2,340,240,0.0000,0,1,1.0000,1
multi_module_p2b8,100,terminal,36,1,2,292,192,0.0000,0,1,,1
multi_module_p2b8,100,classic,36,1,2,292,192,0.0000,0,1,5.2520,1
alg27_2,12,classic,37,3,4,440,428,1.0000,1,1,5.2520,1
led_pairs_kinds,80,mono,8,1,1,130,50,0.0000,1,1,1.0000,1
multi_module_p2b8,12,terminal,36,1,2,292,280,1.0000,1,1,,1
physical_multirow_rack,120,classic,289,2,17,310,190,0.0000,0,0,5.2520,1
render_outlier_matrix,100,classic,22,3,3,358,258,0.0000,0,1,5.2520,1
influence_outlier,100,classic,20,2,2,324,224,0.0000,0,1,5.2520,1
physical_multirow_rack,100,classic,289,2,17,310,210,0.0000,0,1,5.2520,1
numbered_led_pairs,100,classic,2,1,1,34,0,0.0000,0,1,5.2520,0
led_pairs_kinds,120,mono,8,1,1,130,10,0.0000,0,0,1.0000,1
graph_latency_chain,80,mono,18,1,1,290,210,0.0000,1,1,1.0000,1
graph_latency_fanout,80,classic,18,1,1,290,210,0.0000,1,1,5.2520,1
arpeggio1,268,terminal,14,2,2,228,0,0.0000,0,0,,0
source_navigation,12,terminal,26,2,2,420,408,1.0000,1,1,,1
label_i4_empty,100,terminal,18,2,2,292,192,0.0000,0,1,,1
graph_topology_error,12,classic,18,1,1,290,278,1.0000,1,1,5.2520,1
cable_banner_combos,12,terminal,2,2,2,36,24,1.0000,1,1,,1
graph_latency_fanout,290,classic,18,1,1,290,0,0.0000,0,0,5.2520,0
graph_topology_error,12,terminal,18,1,1,290,278,1.0000,1,1,,1
alg27_2,120,mono,37,3,4,440,320,0.0000,0,0,1.0000,1
switch_value,34,terminal,2,1,1,34,0,0.0000,1,1,,0
label_i4_empty,120,classic,18,2,2,292,172,0.0000,0,0,5.2520,1
optimizer_latency,80,terminal,2,2,2,36,0,0.0000,1,1,,0
graph_latency_fanout,330,terminal,18,1,1,290,0,0.0000,0,0,,0
alg27_2,120,classic,37,3,4,440,320,0.0000,0,0,5.2520,1
graph_edge_kinds,290,terminal,18,1,1,290,0,0.0000,0,0,,0
graph_latency_error,80,terminal,18,1,1,290,210,0.0000,1,1,,1
droid_mpfs5drum,12,terminal,57,4,4,920,908,1.0000,1,1,,1
graph_latency_backedge,12,classic,18,1,1,290,278,1.0000,1,1,5.2520,1
render_outlier_matrix,80,classic,22,3,3,358,278,0.0000,1,1,5.2520,1
graph_edge_kinds,12,mono,18,1,1,290,278,1.0000,1,1,1.0000,1
render_outlier_matrix,12,terminal,22,3,3,358,346,1.0000,1,1,,1
graph_topology_error,100,terminal,18,1,1,290,190,0.0000,0,1,,1
multi_module_p2b8,80,mono,36,1,2,292,212,0.0000,1,1,1.0000,1
droid_mpfs5drum,80,classic,57,4,4,920,840,0.0000,1,1,5.2520,1
graph_latency_backedge,120,terminal,18,1,1,290,170,0.0000,0,0,,1
