patch,width,theme,components,panels,modules,min_width,overflow_cols,fallback_rate,sidebar_hidden,minimap_hidden,min_contrast,degraded
alg27_2,480,terminal,37,3,4,440,0,0.0000,0,0,,0
arpeggio1,80,classic,14,2,2,228,148,0.0000,1,1,5.2520,1
led_pairs,120,terminal,34,1,2,292,172,0.0000,0,0,,1
optimizer_latency,76,classic,2,2,2,36,0,0.0000,1,1,5.3172,0
cable_banner_combos,36,classic,2,2,2,36,0,0.0000,1,1,5.2520,0
numbered_led_pairs,120,mono,2,1,1,34,0,0.0000,0,0,1.0000,1
source_navigation,12,mono,26,2,2,420,408,1.0000,1,1,1.0000,1
droid_mpfs5drum,100,mono,57,4,4,920,820,0.0000,0,1,1.0000,1
droid_mpfs5melody2,120,mono,91,6,6,1468,1348,0.0000,0,0,1.0000,1
graph_latency_chain,80,terminal,18,1,1,290,210,0.0000,1,1,,1
graph_latency_chain,290,terminal,18,1,1,290,0,0.0000,0,0,,0
graph_latency_error,290,classic,18,1,1,290,0,0.0000,0,0,5.2520,0
alg27_2,440,classic,37,3,4,440,0,0.0000,0,0,5.2520,0
droid_mpfs5drum,12,classic,57,4,4,920,908,1.0000,1,1,5.2520,1
render_outlier_matrix,120,mono,22,3,3,358,238,0.0000,0,0,1.0000,1
